role,experience_years,education,num_projects,certifications,location_tier,company_type,skills,salary_lpa
Data Scientist,2.3,Masters,2,0,Tier-2,Product-based,deep learning|machine learning|numpy|pandas|r|scikit-learn|sql|statistics|tensorflow,13.87
Cloud Engineer,2.6,Masters,8,1,Tier-1,Startup,azure|docker|gcp|kubernetes|linux|python|system design|terraform,14.1
Software Engineer,1.3,Bachelors,2,1,Tier-2,Product-based,c++|data structures|git|java|linux|oop,11.0
Machine Learning Engineer,0.5,Masters,5,1,Tier-2,Service-based,deep learning|docker|kubernetes|machine learning|pytorch|scikit-learn|sql|system design|tensorflow,9.79
Cybersecurity Analyst,8.3,Masters,5,0,Tier-2,Product-based,aws|azure|ci/cd|linux|network security|penetration testing|risk assessment|siem,22.37
Cloud Engineer,5.6,Bachelors,3,1,Tier-1,Enterprise,aws|azure|ci/cd|docker|gcp|jenkins|kubernetes|python,20.47
Machine Learning Engineer,6.3,Bachelors,4,0,Tier-1,Startup,aws|deep learning|machine learning|python|pytorch|scikit-learn|system design|xgboost,21.86
UI/UX Designer,2.0,Bachelors,3,1,Tier-1,Service-based,figma|ui/ux design|user research|wireframing,7.45
Data Analyst,11.1,Bachelors,6,2,Tier-3,Product-based,data visualization|excel|matplotlib|power bi|python|r|sql|statistics,19.67
Data Scientist,0.3,Bachelors,3,3,Tier-3,Service-based,data visualization|deep learning|machine learning|numpy|pandas|python|scikit-learn|sql,7.6
DevOps Engineer,1.8,Bachelors,8,0,Tier-2,Product-based,aws|azure|ci/cd|docker|kubernetes|linux|python|terraform,13.64
Machine Learning Engineer,0.3,Bachelors,5,2,Tier-1,Startup,aws|deep learning|docker|kubernetes|machine learning|python|pytorch|scikit-learn|tensorflow,13.45
Frontend Developer,3.7,Bachelors,3,0,Tier-1,Service-based,css|git|html|javascript|react,10.47
Backend Developer,0.6,Masters,6,1,Tier-1,Product-based,docker|fastapi|java|mongodb|rest api|sql,13.67
Full Stack Developer,0.0,Bachelors,5,0,Tier-1,Product-based,css|html|javascript|node.js|react|rest api|sql|typescript,8.72
Cloud Engineer,2.7,Bachelors,5,2,Tier-1,Startup,aws|ci/cd|docker|kubernetes|linux|python|system design,16.37
Full Stack Developer,2.8,Bachelors,6,0,Tier-2,Enterprise,css|django|docker|flask|javascript|node.js|react,10.4
Data Analyst,2.4,Bachelors,2,3,Tier-1,Product-based,pandas|power bi|python|requirements gathering|statistics,11.14
Data Scientist,4.0,Bachelors,4,0,Tier-2,Product-based,data visualization|machine learning|numpy|pandas|python|scikit-learn|statistics,17.53
Backend Developer,0.5,Masters,3,2,Tier-2,Product-based,django|fastapi|python|spring boot|sql|system design,10.84
AI Engineer,0.6,Masters,8,2,Tier-2,Enterprise,aws|deep learning|kubernetes|machine learning|nlp|python|scikit-learn,12.95
Software Engineer,0.7,Bachelors,3,2,Tier-3,Enterprise,algorithms|c++|data structures|java|system design,7.77
Machine Learning Engineer,0.5,Masters,6,2,Tier-1,Startup,airflow|deep learning|docker|machine learning|python|pytorch|sql,13.88
Machine Learning Engineer,1.3,Bachelors,4,2,Tier-1,Startup,airflow|deep learning|docker|machine learning|python|pytorch|scikit-learn|tensorflow,14.55
Product Manager,1.0,Bachelors,7,1,Tier-2,Product-based,a/b testing|agile|data visualization|jira|requirements gathering|sql|wireframing,17.54
Cloud Engineer,2.6,Bachelors,7,0,Tier-3,Service-based,aws|azure|docker|kubernetes|python|system design|terraform,8.75
Full Stack Developer,2.8,Masters,6,1,Tier-1,Startup,css|javascript|node.js|rest api,14.92
Full Stack Developer,0.1,Bachelors,3,1,Tier-2,Enterprise,docker|html|mongodb|node.js|react|sql,7.38
Product Manager,4.6,Bachelors,6,0,Tier-1,Startup,a/b testing|agile|data visualization|product management|stakeholder management,22.7
UI/UX Designer,3.0,Bachelors,3,1,Tier-3,Startup,a/b testing|figma|ui/ux design|user research|wireframing,8.05
AI Engineer,1.7,Bachelors,2,1,Tier-3,Product-based,computer vision|deep learning|docker|nlp|python|pytorch|system design,13.42
Cloud Engineer,3.4,Masters,3,0,Tier-1,Service-based,azure|ci/cd|gcp|kubernetes|linux|system design|terraform,13.87
Data Scientist,3.6,Bachelors,2,2,Tier-1,Product-based,data visualization|machine learning|pandas|scikit-learn|sql,18.78
UI/UX Designer,9.1,Bachelors,4,2,Tier-1,Startup,figma|prototyping|ui/ux design|user research|wireframing,18.25
Backend Developer,0.4,Bachelors,3,1,Tier-3,Startup,fastapi|java|node.js|postgresql|python|rest api|spring boot|sql|system design,6.74
Machine Learning Engineer,0.4,Masters,3,0,Tier-1,Enterprise,docker|machine learning|python|pytorch|scikit-learn,14.11
Data Scientist,1.2,Bachelors,4,0,Tier-1,Startup,data visualization|deep learning|matplotlib|python|scikit-learn|seaborn|sql|statistics,11.47
UI/UX Designer,3.0,Bachelors,6,1,Tier-1,Service-based,figma|prototyping|ui/ux design|user research|wireframing,9.55
Cloud Engineer,1.4,Masters,2,0,Tier-2,Enterprise,aws|azure|docker|gcp|kubernetes|linux|python|system design|terraform,12.2
UI/UX Designer,4.1,Bachelors,6,1,Tier-3,Service-based,a/b testing|prototyping|ui/ux design|user research,7.67
Data Scientist,0.5,Bachelors,3,1,Tier-1,Product-based,data visualization|machine learning|pandas|python|sql|statistics,11.73
Data Analyst,0.9,Bachelors,2,1,Tier-1,Product-based,excel|numpy|power bi|python|sql|statistics,9.5
Full Stack Developer,1.4,Bachelors,4,1,Tier-1,Startup,css|html|javascript|mongodb|react|sql|typescript,11.4
UI/UX Designer,1.6,Masters,6,2,Tier-1,Startup,a/b testing|figma|prototyping|ui/ux design|user research,10.7
Frontend Developer,1.8,PhD,2,3,Tier-1,Startup,css|git|html|javascript|react|typescript,13.29
Machine Learning Engineer,0.1,Bachelors,1,0,Tier-3,Service-based,deep learning|docker|machine learning|python|pytorch|scikit-learn,6.05
Product Manager,4.5,Bachelors,6,1,Tier-1,Enterprise,a/b testing|agile|jira|product management|stakeholder management,24.28
Full Stack Developer,1.1,Bachelors,7,2,Tier-2,Startup,css|docker|javascript|node.js|react,11.08
Frontend Developer,4.2,Bachelors,1,0,Tier-2,Enterprise,css|git|html|javascript|rest api|typescript,9.81
Product Manager,2.8,Bachelors,5,0,Tier-1,Product-based,a/b testing|product management|requirements gathering|sql|stakeholder management,20.29
UI/UX Designer,3.3,Bachelors,5,0,Tier-1,Startup,prototyping|ui/ux design|user research|wireframing,9.86
Business Analyst,5.5,Bachelors,7,2,Tier-2,Service-based,data visualization|jira|power bi|requirements gathering|stakeholder management,11.26
Software Engineer,8.4,Masters,4,0,Tier-1,Startup,agile|c++|data structures|git|java|oop|python|rest api,19.73
Business Analyst,1.6,PhD,3,2,Tier-1,Product-based,data visualization|excel|power bi|requirements gathering|sql|stakeholder management,15.11
Business Analyst,0.2,PhD,2,0,Tier-2,Product-based,data visualization|excel|jira|power bi|python|requirements gathering|sql,9.02
Software Engineer,3.9,Bachelors,5,1,Tier-2,Enterprise,agile|data structures|git|java|oop|rest api|system design,12.28
Backend Developer,0.8,Masters,3,1,Tier-1,Service-based,fastapi|flask|java|node.js|postgresql|python|sql|system design,8.71
Software Engineer,0.6,Bachelors,4,2,Tier-1,Service-based,agile|git|oop|python|sql|system design,8.27
Software Engineer,3.7,Masters,4,0,Tier-3,Product-based,algorithms|c++|data structures|git|java|linux|oop,13.27
Data Analyst,2.1,Bachelors,3,3,Tier-1,Service-based,data visualization|excel|power bi|python|requirements gathering|sql|statistics|tableau,8.87
Frontend Developer,2.4,Bachelors,3,0,Tier-2,Service-based,agile|git|html|javascript|rest api|typescript,8.04
Data Analyst,10.7,Bachelors,5,1,Tier-2,Service-based,data visualization|matplotlib|pandas|power bi|python|r|sql|tableau,16.12
Backend Developer,7.9,Bachelors,4,0,Tier-1,Service-based,java|node.js|python|rest api|sql|system design,16.99
Frontend Developer,3.4,Bachelors,5,1,Tier-1,Enterprise,agile|css|git|html|javascript|node.js|react|rest api|typescript,11.03
Machine Learning Engineer,1.1,Masters,2,0,Tier-1,Product-based,airflow|aws|deep learning|docker|machine learning|python|pytorch|scikit-learn|system design|tensorflow,13.49
UI/UX Designer,2.0,Bachelors,3,1,Tier-3,Startup,a/b testing|agile|figma|html|prototyping|wireframing,7.13
Frontend Developer,0.4,Bachelors,8,1,Tier-1,Startup,agile|css|figma|git|html|javascript|react|rest api,8.76
AI Engineer,1.9,Bachelors,4,1,Tier-2,Startup,computer vision|deep learning|machine learning|nlp|python|pytorch,13.02
Cybersecurity Analyst,0.3,Bachelors,7,1,Tier-3,Enterprise,aws|azure|ci/cd|network security|penetration testing|risk assessment|siem,7.13
Data Analyst,3.1,Masters,5,2,Tier-3,Product-based,data visualization|matplotlib|numpy|pandas|power bi|statistics|tableau,11.41
Data Scientist,0.4,Bachelors,6,0,Tier-1,Service-based,machine learning|numpy|pandas|scikit-learn|sql|statistics|tensorflow,8.49
DevOps Engineer,5.4,Bachelors,4,0,Tier-1,Service-based,aws|azure|kubernetes|linux|python|system design,16.65
Software Engineer,1.9,Bachelors,2,2,Tier-1,Enterprise,algorithms|git|java|oop|rest api|system design,9.97
Software Engineer,2.4,Masters,5,1,Tier-1,Service-based,agile|algorithms|c++|git|linux|oop|rest api,12.55
Data Analyst,7.4,Bachelors,3,0,Tier-1,Enterprise,pandas|python|requirements gathering|statistics|tableau,16.65
DevOps Engineer,1.8,Bachelors,7,3,Tier-3,Enterprise,azure|ci/cd|docker|gcp|jenkins|kubernetes|linux|system design|terraform,9.51
Machine Learning Engineer,15.0,Bachelors,5,0,Tier-1,Service-based,deep learning|machine learning|python|pytorch|scikit-learn,39.59
Software Engineer,2.4,Bachelors,4,1,Tier-3,Service-based,algorithms|c++|data structures|java|linux|oop|rest api|sql|system design,7.66
Software Engineer,0.6,Bachelors,5,0,Tier-2,Enterprise,algorithms|c++|data structures|git|java|oop|python|rest api|system design,8.55
DevOps Engineer,2.1,Bachelors,3,0,Tier-2,Product-based,aws|azure|ci/cd|gcp|jenkins|kubernetes,12.37
Cloud Engineer,1.0,Masters,7,2,Tier-3,Enterprise,azure|ci/cd|docker|kubernetes|terraform,10.43
Full Stack Developer,0.9,Bachelors,2,1,Tier-1,Service-based,javascript|mongodb|node.js|react,7.85
Machine Learning Engineer,3.0,Bachelors,4,1,Tier-1,Startup,deep learning|docker|kubernetes|machine learning|python|pytorch|scikit-learn|tensorflow,16.97
UI/UX Designer,0.8,Masters,3,0,Tier-1,Product-based,a/b testing|agile|css|figma|prototyping|wireframing,9.68
Frontend Developer,8.3,Masters,3,0,Tier-2,Service-based,agile|css|figma|git|html|javascript|node.js|react|typescript,12.7
Business Analyst,0.8,Bachelors,5,0,Tier-3,Product-based,excel|jira|power bi|python|sql|stakeholder management|statistics,6.76
UI/UX Designer,1.8,Bachelors,3,1,Tier-1,Service-based,a/b testing|agile|figma|prototyping|user research,6.67
Software Engineer,1.5,Masters,3,2,Tier-1,Startup,algorithms|data structures|git|java|linux|python,11.19
Data Scientist,0.1,Bachelors,4,2,Tier-1,Startup,data visualization|numpy|pandas|sql,10.16
Full Stack Developer,4.9,Masters,4,0,Tier-3,Product-based,css|html|javascript|node.js|rest api,13.5
DevOps Engineer,2.8,Bachelors,1,0,Tier-2,Service-based,aws|azure|ci/cd|jenkins|linux|terraform,10.0
Business Analyst,14.7,Bachelors,8,1,Tier-2,Service-based,excel|jira|power bi|python|sql|stakeholder management|statistics,18.56
Data Analyst,1.5,Masters,2,2,Tier-1,Enterprise,data visualization|matplotlib|power bi|python|requirements gathering|sql,9.8
UI/UX Designer,0.5,Bachelors,2,0,Tier-1,Service-based,agile|css|figma|prototyping|ui/ux design|user research|wireframing,5.84
DevOps Engineer,2.3,Bachelors,3,1,Tier-1,Service-based,aws|kubernetes|linux,9.85
AI Engineer,2.9,Masters,3,0,Tier-1,Service-based,deep learning|nlp|scikit-learn|tensorflow,15.63
Business Analyst,2.1,Bachelors,3,2,Tier-1,Enterprise,agile|data visualization|excel|power bi|python|sql,10.8
Full Stack Developer,5.8,Bachelors,6,1,Tier-1,Service-based,css|django|flask|html|react|sql,15.14
UI/UX Designer,0.9,Masters,2,0,Tier-2,Service-based,a/b testing|css|figma|user research|wireframing,6.5
AI Engineer,5.3,Bachelors,3,1,Tier-3,Service-based,deep learning|machine learning|nlp|python|pytorch|tensorflow,15.07
Backend Developer,2.2,Masters,3,1,Tier-2,Service-based,django|java|node.js|postgresql|python|rest api|sql|system design,10.84
DevOps Engineer,3.3,Bachelors,4,2,Tier-1,Service-based,aws|ci/cd|docker|jenkins|kubernetes|linux|system design|terraform,14.98
Business Analyst,5.3,Masters,3,2,Tier-2,Service-based,excel|power bi|requirements gathering|sql,11.48
Frontend Developer,0.6,Bachelors,5,0,Tier-1,Product-based,css|figma|git|react|rest api|typescript,9.6
Frontend Developer,0.3,Bachelors,3,1,Tier-3,Service-based,agile|css|git|html|javascript|rest api|typescript,4.99
Backend Developer,0.9,Bachelors,5,1,Tier-2,Product-based,flask|java|node.js|postgresql|python|rest api|sql|system design,9.25
Software Engineer,1.7,Bachelors,7,1,Tier-1,Product-based,algorithms|c++|data structures|git|java|linux|oop|system design,13.14
Business Analyst,0.1,Masters,3,1,Tier-2,Startup,agile|excel|power bi|requirements gathering|sql|stakeholder management|statistics,7.67
Business Analyst,0.9,Bachelors,2,4,Tier-2,Service-based,data visualization|excel|power bi|python|requirements gathering|stakeholder management,7.14
Frontend Developer,0.2,Masters,4,1,Tier-1,Startup,git|html|typescript,9.37
Cybersecurity Analyst,1.9,Masters,4,1,Tier-1,Product-based,azure|ci/cd|network security|penetration testing|python|risk assessment|siem,15.57
DevOps Engineer,7.3,Bachelors,3,0,Tier-1,Product-based,aws|azure|ci/cd|docker|gcp|linux|system design|terraform,24.2
Cybersecurity Analyst,8.2,Masters,4,2,Tier-2,Startup,aws|linux|network security|penetration testing|python|risk assessment|siem,21.79
Business Analyst,0.7,Bachelors,7,0,Tier-1,Enterprise,data visualization|excel|power bi|stakeholder management,7.36
Data Scientist,1.9,Bachelors,1,0,Tier-1,Startup,data visualization|deep learning|excel|machine learning|numpy|python|scikit-learn|statistics|tensorflow,12.08
Full Stack Developer,1.4,Bachelors,3,1,Tier-1,Product-based,css|javascript|rest api|sql,11.03
DevOps Engineer,2.3,Masters,6,1,Tier-1,Startup,aws|ci/cd|docker|jenkins|kubernetes|linux|python|system design|terraform,15.3
Machine Learning Engineer,1.9,Bachelors,4,2,Tier-2,Product-based,deep learning|docker|machine learning|pytorch|tensorflow,15.61
UI/UX Designer,4.3,Masters,3,2,Tier-2,Service-based,figma|prototyping|ui/ux design,9.79
Data Scientist,2.3,Bachelors,1,2,Tier-1,Service-based,excel|matplotlib|numpy|pandas|python|scikit-learn|sql|statistics|tensorflow,11.78
Backend Developer,1.7,Bachelors,3,1,Tier-1,Product-based,docker|flask|java|node.js|postgresql|python|rest api|spring boot|system design,12.72
Machine Learning Engineer,1.5,Masters,3,3,Tier-1,Product-based,aws|machine learning|pytorch|scikit-learn|system design|tensorflow|xgboost,16.83
Frontend Developer,2.0,Masters,5,0,Tier-1,Startup,agile|css|git|javascript|react|typescript,9.76
Data Analyst,4.2,Bachelors,2,0,Tier-3,Service-based,data visualization|excel|matplotlib|pandas|power bi|python|sql|tableau,7.53
Full Stack Developer,7.0,Masters,4,0,Tier-1,Service-based,css|django|docker|html|javascript|mongodb|node.js|rest api,16.05
Business Analyst,4.2,Masters,5,0,Tier-3,Product-based,agile|data visualization|excel|power bi|sql|stakeholder management|statistics,12.19
Business Analyst,2.7,Masters,7,2,Tier-1,Product-based,data visualization|excel|power bi|python|requirements gathering|stakeholder management|statistics,14.11
Full Stack Developer,1.6,Bachelors,7,3,Tier-3,Service-based,css|docker|flask|javascript|node.js|python|react|sql,7.35
Data Scientist,9.5,Bachelors,7,1,Tier-3,Startup,machine learning|numpy|pandas|python|scikit-learn|seaborn|sql|statistics,18.38
Machine Learning Engineer,2.6,Bachelors,2,1,Tier-2,Enterprise,deep learning|docker|keras|kubernetes|machine learning|python|pytorch|scikit-learn|tensorflow,15.26
UI/UX Designer,0.2,Bachelors,4,2,Tier-3,Service-based,agile|figma|html|user research|wireframing,4.45
AI Engineer,0.2,Bachelors,1,1,Tier-2,Service-based,aws|computer vision|deep learning|kubernetes|machine learning|nlp|python|tensorflow,8.23
Cloud Engineer,6.7,Bachelors,3,1,Tier-1,Service-based,aws|azure|ci/cd|docker|gcp|terraform,17.75
Business Analyst,1.2,Bachelors,3,2,Tier-2,Product-based,requirements gathering|sql|stakeholder management|statistics,8.97
Cloud Engineer,0.3,Bachelors,3,0,Tier-2,Enterprise,aws|ci/cd|docker|gcp|linux|system design|terraform,8.36
Software Engineer,2.9,Bachelors,6,1,Tier-1,Service-based,algorithms|c++|data structures|git|java|linux|oop,11.72
Machine Learning Engineer,0.8,Bachelors,7,1,Tier-1,Enterprise,deep learning|machine learning|python|pytorch|tensorflow|xgboost,12.22
Product Manager,6.5,Masters,6,0,Tier-3,Service-based,agile|jira|requirements gathering|sql|stakeholder management|user research|wireframing,21.38
Full Stack Developer,9.0,Bachelors,4,2,Tier-1,Product-based,css|docker|flask|javascript|node.js|react|sql|typescript,24.59
Cloud Engineer,6.4,Bachelors,5,2,Tier-1,Startup,aws|azure|docker|gcp|jenkins|python|system design|terraform,26.31
Cybersecurity Analyst,7.0,Masters,4,3,Tier-3,Service-based,linux|penetration testing|risk assessment|siem,14.09
Data Scientist,12.1,Bachelors,3,3,Tier-2,Enterprise,data visualization|machine learning|matplotlib|numpy|python|scikit-learn|statistics,31.73
Cloud Engineer,1.1,Bachelors,1,1,Tier-2,Startup,aws|azure|docker|gcp|jenkins|python|system design|terraform,9.35
Data Scientist,2.4,Bachelors,2,0,Tier-2,Enterprise,machine learning|numpy|scikit-learn|sql|statistics,11.42
Business Analyst,1.0,Bachelors,6,0,Tier-2,Service-based,excel|power bi|sql,5.92
Software Engineer,1.4,Bachelors,3,2,Tier-2,Service-based,agile|algorithms|c++|data structures|oop|system design,8.39
Frontend Developer,12.4,Masters,1,0,Tier-1,Enterprise,css|git|react|typescript,22.17
Data Analyst,0.5,Bachelors,6,2,Tier-2,Enterprise,data visualization|excel|python|r|requirements gathering|sql|tableau,6.67
Cybersecurity Analyst,1.4,Bachelors,4,1,Tier-1,Enterprise,azure|linux|network security|risk assessment|siem,10.98
Business Analyst,2.5,Bachelors,4,2,Tier-2,Product-based,excel|requirements gathering|sql|stakeholder management|statistics,10.43
Frontend Developer,0.0,Masters,2,3,Tier-1,Service-based,css|git|html|javascript|react|typescript,9.04
DevOps Engineer,2.7,Masters,3,0,Tier-1,Startup,docker|jenkins|kubernetes|linux|terraform,12.99
Backend Developer,3.1,Masters,3,0,Tier-3,Enterprise,django|java|node.js|python|rest api|sql|system design,12.51
Cloud Engineer,0.0,PhD,4,0,Tier-2,Product-based,aws|azure|gcp|kubernetes|terraform,12.75
Data Analyst,0.2,Bachelors,2,3,Tier-2,Startup,excel|numpy|power bi|python|statistics|tableau,5.66
Backend Developer,5.9,Bachelors,4,0,Tier-3,Product-based,fastapi|java|node.js|postgresql|python,14.95
Backend Developer,1.0,Bachelors,7,1,Tier-1,Service-based,django|java|node.js|postgresql|python|redis|rest api|spring boot|system design,9.38
Business Analyst,2.2,Bachelors,1,1,Tier-1,Enterprise,agile|data visualization|excel|requirements gathering|sql|stakeholder management,9.94
Cloud Engineer,14.8,Masters,3,0,Tier-2,Product-based,aws|azure|ci/cd|docker|gcp|kubernetes|terraform,36.46
AI Engineer,1.3,Masters,1,2,Tier-2,Product-based,deep learning|machine learning|nlp,15.51
Business Analyst,11.7,PhD,3,0,Tier-1,Service-based,data visualization|excel|jira|power bi|stakeholder management,22.97
Business Analyst,3.0,Bachelors,5,0,Tier-1,Startup,agile|data visualization|excel|jira|sql,10.98
Product Manager,0.3,Bachelors,5,0,Tier-1,Service-based,data visualization|jira|product management|sql|stakeholder management,12.62
Cybersecurity Analyst,0.9,PhD,4,1,Tier-1,Product-based,azure|ci/cd|linux|network security|penetration testing|siem,13.15
Frontend Developer,3.1,Masters,4,1,Tier-2,Service-based,agile|css|html|javascript|rest api|typescript,9.76
Full Stack Developer,3.0,Bachelors,6,0,Tier-1,Product-based,node.js|react|sql,15.22
Backend Developer,1.5,Bachelors,3,0,Tier-3,Startup,node.js|postgresql|rest api|sql|system design,7.41
Machine Learning Engineer,3.2,Bachelors,4,3,Tier-1,Service-based,aws|deep learning|docker|scikit-learn|sql|tensorflow,15.83
Software Engineer,7.2,Bachelors,4,1,Tier-1,Service-based,agile|algorithms|c++|data structures|git|oop|system design,16.76
Data Scientist,2.0,Bachelors,2,0,Tier-1,Startup,machine learning|matplotlib|numpy|pandas|python|sql|statistics,13.47
AI Engineer,0.9,Bachelors,3,0,Tier-1,Startup,computer vision|deep learning|machine learning|nlp|python|pytorch|tensorflow,12.11
DevOps Engineer,3.6,Bachelors,7,0,Tier-2,Service-based,aws|ci/cd|docker|jenkins|kubernetes|linux,10.61
AI Engineer,2.3,Bachelors,3,0,Tier-1,Product-based,computer vision|deep learning|docker|machine learning|nlp|python|pytorch|tensorflow,16.74
Product Manager,1.1,Bachelors,3,0,Tier-2,Startup,a/b testing|data visualization|requirements gathering|stakeholder management|wireframing,14.0
Cybersecurity Analyst,0.3,Masters,5,2,Tier-1,Startup,penetration testing|risk assessment|siem,11.41
Cybersecurity Analyst,1.3,Masters,6,0,Tier-3,Enterprise,azure|linux|network security|penetration testing|risk assessment,9.22
DevOps Engineer,0.3,Bachelors,2,1,Tier-3,Enterprise,aws|ci/cd|docker|jenkins|linux|terraform,7.19
Cybersecurity Analyst,3.8,Bachelors,3,1,Tier-1,Service-based,linux|network security|penetration testing|risk assessment|siem,13.18
Backend Developer,1.5,PhD,3,2,Tier-3,Product-based,django|node.js|python|redis|system design,10.32
Data Scientist,0.7,Bachelors,6,2,Tier-2,Product-based,data visualization|excel|machine learning|pandas,11.71
Machine Learning Engineer,3.2,Bachelors,5,0,Tier-1,Product-based,deep learning|docker|python|scikit-learn,18.75
Data Analyst,3.1,Bachelors,3,0,Tier-1,Startup,data visualization|power bi|python|statistics|tableau,10.81
Product Manager,4.5,Bachelors,6,1,Tier-2,Service-based,a/b testing|jira|requirements gathering|stakeholder management,17.28
Business Analyst,7.7,Bachelors,3,0,Tier-2,Product-based,data visualization|power bi|python|requirements gathering|sql|stakeholder management|statistics,14.95
Data Scientist,11.1,Masters,7,2,Tier-1,Product-based,machine learning|numpy|pandas|power bi|python|scikit-learn|sql,26.31
Business Analyst,5.5,Bachelors,1,1,Tier-1,Startup,data visualization|excel|power bi|python|requirements gathering|stakeholder management,11.38
AI Engineer,0.3,Bachelors,3,0,Tier-3,Service-based,deep learning|machine learning|nlp|python|pytorch,7.54
Backend Developer,2.8,Masters,2,0,Tier-2,Enterprise,django|docker|flask|java|node.js|postgresql|python|rest api|sql|system design,13.52
Data Analyst,0.1,Masters,1,1,Tier-1,Service-based,data visualization|excel|power bi|python|sql|statistics|tableau,7.67
Cybersecurity Analyst,3.0,Masters,3,1,Tier-2,Product-based,linux|network security|risk assessment,13.24
Machine Learning Engineer,2.8,Masters,4,0,Tier-1,Enterprise,deep learning|machine learning|python|tensorflow,17.88
UI/UX Designer,4.8,Bachelors,4,0,Tier-1,Enterprise,prototyping|user research|wireframing,12.33
AI Engineer,1.5,Masters,6,1,Tier-1,Startup,deep learning|kubernetes|python|pytorch|tensorflow,18.54
Data Scientist,2.3,Bachelors,8,1,Tier-2,Product-based,excel|machine learning|numpy|pandas|python|scikit-learn|statistics|tensorflow,14.56
Cybersecurity Analyst,1.2,Masters,4,4,Tier-3,Product-based,linux|network security|penetration testing,12.44
AI Engineer,0.0,Bachelors,3,0,Tier-1,Startup,computer vision|docker|kubernetes|machine learning|nlp|python|pytorch|scikit-learn|tensorflow,12.06
Data Analyst,2.4,Masters,6,1,Tier-2,Product-based,excel|matplotlib|numpy|power bi|python|r|sql|statistics,12.71
Cloud Engineer,1.4,Bachelors,5,2,Tier-1,Service-based,aws|docker|system design|terraform,10.27
AI Engineer,2.6,Bachelors,1,1,Tier-1,Product-based,aws|computer vision|deep learning|machine learning|nlp|python|pytorch|tensorflow,18.98
Full Stack Developer,0.8,PhD,7,2,Tier-1,Product-based,css|docker|html|javascript|mongodb|node.js|react|sql,13.75
Backend Developer,0.4,PhD,5,0,Tier-1,Product-based,django|flask|java|python|rest api|spring boot,12.61
Product Manager,1.0,Bachelors,3,0,Tier-1,Startup,a/b testing|agile|jira|product management|requirements gathering|sql|user research,15.31
UI/UX Designer,10.8,Masters,5,2,Tier-2,Service-based,prototyping|ui/ux design|user research|wireframing,16.94
Data Scientist,1.0,Masters,4,1,Tier-2,Service-based,data visualization|machine learning|numpy|pandas|python|sql|statistics|tensorflow,9.37
Cybersecurity Analyst,1.6,Bachelors,5,1,Tier-1,Service-based,azure|linux|network security|python|siem,8.91
Cybersecurity Analyst,13.2,Masters,5,1,Tier-3,Startup,aws|linux|network security|penetration testing|risk assessment,25.42
Business Analyst,1.7,Bachelors,2,0,Tier-1,Product-based,agile|excel|power bi|sql|stakeholder management|statistics,10.86
Business Analyst,4.6,Bachelors,1,0,Tier-1,Product-based,data visualization|excel|power bi|requirements gathering|sql|statistics,13.6
Data Analyst,0.8,Bachelors,5,1,Tier-2,Service-based,data visualization|excel|power bi|sql|statistics|tableau,6.61
Cybersecurity Analyst,1.0,Bachelors,2,2,Tier-2,Service-based,aws|linux|network security|risk assessment|siem,7.27
Business Analyst,12.1,Masters,6,2,Tier-1,Startup,data visualization|power bi|requirements gathering|sql|stakeholder management,22.99
Cybersecurity Analyst,1.7,Masters,2,5,Tier-1,Product-based,azure|ci/cd|linux|network security|penetration testing|risk assessment|siem,15.29
Product Manager,2.2,Masters,4,0,Tier-3,Product-based,a/b testing|agile|requirements gathering|stakeholder management,16.67
Cloud Engineer,3.2,PhD,2,0,Tier-1,Service-based,aws|ci/cd|docker|jenkins|kubernetes|linux|system design|terraform,14.52
Frontend Developer,4.1,Bachelors,2,1,Tier-2,Service-based,git|html|javascript|typescript,9.67
Data Analyst,3.4,Bachelors,5,1,Tier-1,Product-based,pandas|r|requirements gathering|sql|statistics|tableau,12.55
Product Manager,7.6,Bachelors,4,0,Tier-1,Startup,agile|data visualization|jira|stakeholder management|wireframing,33.45
DevOps Engineer,1.2,Masters,4,1,Tier-2,Service-based,aws|azure|ci/cd|docker|jenkins|linux|terraform,9.58
Cloud Engineer,0.2,Bachelors,2,1,Tier-1,Service-based,aws|ci/cd|docker|gcp|jenkins|kubernetes|linux|system design|terraform,7.99
Full Stack Developer,2.4,Masters,2,1,Tier-1,Startup,html|javascript|mongodb|python|react|rest api|sql|typescript,13.87
Software Engineer,0.6,PhD,7,3,Tier-1,Service-based,algorithms|data structures|git|linux|oop|python|rest api|system design,10.07
Software Engineer,5.6,Masters,6,1,Tier-1,Startup,agile|data structures|java|oop|system design,20.43
AI Engineer,3.6,Bachelors,7,0,Tier-1,Startup,computer vision|deep learning|machine learning|nlp|pytorch|system design|tensorflow,18.06
Backend Developer,0.3,Bachelors,2,0,Tier-2,Product-based,flask|java|python|rest api|sql|system design,9.04
Data Analyst,0.9,Bachelors,4,0,Tier-3,Service-based,data visualization|python|sql|statistics|tableau,4.99
Product Manager,4.1,Bachelors,2,0,Tier-3,Startup,a/b testing|agile|product management|requirements gathering|stakeholder management|user research,17.26
DevOps Engineer,15.0,Bachelors,5,3,Tier-1,Product-based,azure|docker|jenkins|kubernetes|linux|python|system design,47.01
Software Engineer,2.6,Bachelors,4,0,Tier-2,Startup,algorithms|c++|data structures|git|java|oop|python,10.09
Data Analyst,0.2,Bachelors,7,0,Tier-1,Product-based,data visualization|pandas|power bi|python|requirements gathering|sql|statistics,8.12
